Sl. No.,States / Union Territories,Total Annual Ground Water Recharge,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction - Irrigation,Current Annual Ground Water Extraction - Industrial,Current Annual Ground Water Extraction - Domestic,Current Annual Ground Water Extraction - Total,Stage of Ground Water Extraction (%)
1,Andhra Pradesh,27.23,25.86,6.46,0.16,0.83,7.45,28.81
2,Arunachal Pradesh,4.52,4.07,0.02,0.01,0.01,0.03,0.79
3,Assam,26.53,21.4,2.06,0.01,0.58,2.65,12.38
4,Bihar,33.15,30.04,10.01,0.35,3.14,13.5,44.94
5,Chhattisgarh,12.04,11.01,4.62,0.11,0.73,5.46,49.58
6,Delhi,0.41,0.36,0.09,0.0007,0.27,0.36,98.16
7,Goa,0.41,0.33,0.026,0.004,0.048,0.078,23.63
8,Gujarat,26.46,24.58,12.1,0.16,0.82,13.09,53.23
9,Haryana,9.48,8.61,10.3,0.6,0.65,11.54,134.14
10,Himachal Pradesh,1.03,0.94,0.18,0.05,0.12,0.35,37.56
11,Jharkhand,6.21,5.69,0.93,0.21,0.65,1.78,31.35
12,Karnataka,17.74,16.04,10.01,0.13,1.09,11.22,69.93
13,Kerala,5.74,5.19,1.17,0.01,1.55,2.73,52.56
14,Madhya Pradesh,35.23,32.58,17.39,0.17,1.69,19.25,59.1
15,Maharashtra,32.29,30.45,15.29,0.003,1.35,16.65,54.68
16,Manipur,0.52,0.47,0.02,0.0002,0.02,0.04,7.95
17,Meghalaya,1.72,1.51,0.003,0.0007,0.05,0.05,3.55
18,Mizoram,0.22,0.2,0,0,0.01,0.01,3.96
19,Nagaland,0.79,0.71,0.002,0.00002,0.02,0.02,2.89
20,Odisha,17.79,16.34,5.83,0.16,1.24,7.23,44.25
21,Punjab,18.94,17.07,26.69,0.16,1.17,28.02,165.99
22,Rajasthan,12.13,10.96,14.18,0.14,2.23,16.56,151.07
23,Sikkim,0.2712,0.2441,0.0089,0.0022,0.0036,0.0147,6.04
24,Tamil Nadu,21.11,19.09,13.68,0.18,0.57,14.43,75.59
25,Telangana,21.27,19.25,7.257,0.154,0.596,8,41.6
26,Tripura,1.31,1.06,0.02,0.0007,0.08,0.1,9.7
27,Uttar Pradesh,71.45,65.3,40.72,0.41,5.01,46.14,70.66
28,Uttarakhand,2.01,1.86,0.63,0.12,0.15,0.89,48.04
29,West Bengal,23.61,21.42,8.38,0.14,1.54,10.07,47.01
30,Andaman and Nicobar,0.6185,0.5566,0.0001,0.001,0.0065,0.0075,1.35
31,Chandigarh,0.05,0.05,0.01,0.002,0.03,0.04,80.99
32,Dadra and Nagar Haveli,0.09,0.08,0.01,0.09,0.01,0.11,133.2
33,Daman and Diu,0.038,0.036,0.003,0.055,0,0.057,157.927
34,Jammu and Kashmir,4.9,4.44,0.31,0.05,0.71,1.07,24.18
35,Ladakh,0.08,0.07,0.00037,0.0002,0.03,0.03,41.36
36,Lakshadweep,0.01,0.01,0,0,0,0,61.6
37,Puducherry,0.21,0.19,0.08,0.01,0.05,0.13,69.17
Grand Total,Grand Total,437.6,398.08,208.49,3.64,27.05,239.16,60.08
